Gene	CTL_1	CTL_2	TGFb_1	TGFb_2
BMP1	7.079349511	7.132379009	7.350922862	7.559634378
BMP2	7.854719799	8.020069719	7.985670227	8.068280852
BMP3	6.698040193	6.44558215	6.599418592	6.392143618
BMP4	10.2942077	10.70104352	9.646324914	9.727126669
BMP5	6.60095683	6.226258635	6.515552916	6.427136262
BMP6	6.615810249	6.42112512	6.421760326	6.708771198
BMP7	6.495058907	6.267719376	6.511824254	6.372063615
BMP8A	6.519727746	6.329851682	6.333240348	6.336170636
BMP8B	7.175022029	6.99408467	7.050383198	7.053050151
BMP10	6.706302923	6.302885466	6.358610651	6.232598061
BMP15	6.51018508	6.493931981	6.192339272	6.184682712
NOG	8.389449463	8.353561965	9.195617152	9.450501514
