Gene	CTL_1	CTL_2	TGFb_1	TGFb_2
TGFBI	1095.531	1316.597	8388.606	11434.74
PMEPA1	405.9941	417.3127	2988.027	3725.097
SERPINE1	1328.041	697.2076	7968.456	9469.989
COL4A1	407.5086	402.1391	2191.225	2951.478
TAGLN	148.1715	134.5388	670.1403	616.9023
COL6A3	136.4632	124.884	602.6718	1171.791
MARCH4	207.652	165.307	915.1993	892.3304
SCG5	1013.271	682.363	3245.526	3408.732
LAMC2	1417.723	1179.284	4462.93	6430.154
PLAU	4354.793	3858.348	12816.94	14967.31
KISS1	1041.641	831.6407	3048.575	3173.719
ADAM19	367.7566	496.3127	1054.256	1385.087
FSTL3	258.0777	211.4091	734.4265	904.5327
HS.554507	163.2468	166.5455	452.2141	513.8919
LOC653110	128.337	102.0722	331.6563	295.8952
HS.553145	158.293	98.62607	405.9124	555.5135
COL4A2	255.4757	165.3748	629.6212	810.608
COL7A1	1838.918	999.5155	4448.207	3592.603
FLJ10986	347.4566	307.9804	837.9453	829.4377
PODXL	1097.495	973.1799	2629.151	3446.823
ANXA8L2	144.496	125.2566	344.3463	310.9632
LPXN	3368.57	2878.596	8026.406	7539.475
ANXA8	158.3499	127.5951	372.8868	321.4828
FERMT1	692.945	653.688	1631.501	2258.101
MGC4294	156.7271	179.868	362.0673	512.5213
C15ORF48	1271.439	1068.87	2830.158	3514.373
CSF1R	142.3744	144.4005	312.3297	453.2058
PLCXD1	153.6551	144.3539	334.3777	241.5824
PIK3IP1	414.1819	491.7314	897.5479	1176.948
PPAPDC1A	163.8772	165.4812	349.2714	337.0962
HS.390407	225.6608	177.863	473.5023	525.579
PDGFB	129.6526	104.2721	271.5958	347.917
TNFRSF11B	214.8701	161.1822	446.946	370.2686
MMP9	137.7672	165.1591	284.8778	304.119
begf	561.8315	588.5856	1136.691	1232.943
APCDD1L	1764.663	1528.947	3490.738	4170.811
SLC29A1	778.6489	729.2291	1537.199	2027.412
LOC652846	105.7325	92.10324	208.2482	191.54
THBS1	3878.894	2646.077	7555.637	5996.212
COL5A1	1191.721	1137.904	2312.118	2585.703
LOC643296	128.9858	123.0132	248.9688	282.011
TFPI2	598.2873	450.5291	1150.35	1461.454
ADAMTS6	136.3478	115.1872	260.055	199.6781
C6ORF105	215.2868	181.4762	408.9298	434.373
TIMP1	15980.27	17240.04	29825.58	31215.02
EPHA4	296.5902	230.343	553.0098	638.2772
LOC728285	122.0934	115.6118	227.4645	179.3309
SH3KBP1	2049.048	1988.327	3794.631	4057.37
EDN1	755.1523	504.3947	1369.112	992.8619
C1ORF106	389.8791	370.765	706.507	1053.956
FSD2	81.92411	101.8853	147.0799	82.90602
SRPX	1061.875	1168.146	1872.676	2382.159
MYO10	445.3336	437.8271	783.3785	880.0816
UCN2	375.4577	278.3677	659.3442	570.4556
HSF2BP	195.2957	180.2858	341.8777	319.6124
PLEK2	1828.696	1554.442	3172.64	4707.105
SLC46A3	552.447	510.4117	954.9163	1201.297
NGF	327.6326	259.597	562.3306	432.5995
PTPRK	1141.996	1106.155	1959.147	2543.998
TPM1	831.5195	708.9474	1413.844	1593.29
ODZ3	1420.324	1196.17	2411.822	3280.066
FURIN	184.4799	176.0031	311.8146	371.2586
LPAR5	113.9379	105.1767	192.2596	218.5247
TUBA4A	741.8365	588.3151	1247.722	1121.955
CGB5	104.2437	101.6575	174.8753	190.0789
C10ORF85	137.3637	130.4029	228.4779	253.6594
PDZK1IP1	202.4225	211.9453	335.6692	347.806
PRSS3	1198.662	1222.668	1976.09	2490.441
MLLT11	380.9314	401.2539	624.2764	927.5597
RGS10	1758.28	1805.542	2861.994	2520.169
INPP4B	693.1087	577.7446	1126.455	1000.461
C4ORF26	114.3423	96.07854	184.9781	187.6724
FHOD3	294.3727	295.2392	476.0281	532.7909
CDS1	175.968	159.711	283.456	364.382
OCIAD2	6067.166	6038.771	9746.981	9812.303
PARP8	316.9163	255.8313	508.8204	410.0728
SDCCAG8	270.9111	221.0701	434.8746	400.8722
TBC1D2B	731.6444	564.3802	1170.737	1279.296
IGFBP7	3905.186	4141.875	6224.822	5887.579
NLRP3	141.7758	125.8782	225.8346	200.3844
MMP10	147.8128	149.1388	234.0703	206.8175
HS.542197	69.47688	82.85498	109.7695	74.11016
SPHK1	275.7649	178.5644	434.9444	399.4315
ZNF749	83.78097	91.54611	131.9024	85.55736
ARHGAP22	1041.27	855.4897	1635.664	1345.164
NOG	377.9145	308.5525	593.545	648.2028
HS.542687	100.8773	103.2997	158.1107	90.012
LOC645585	82.40055	101.7262	128.7452	98.08756
DDIT4L	216.4023	249.2572	337.9732	307.7213
PGBD3	127.7804	111.3942	198.9376	129.0546
C5ORF46	81.99043	74.73658	126.5125	117.8485
SMAD7	178.9316	173.1699	275.9838	278.0837
HS.4892	189.1445	185.9256	290.9612	329.8793
HMOX1	451.3962	292.314	693.3314	651.1638
