"","CTL_1","CTL_2","TGFb_1","TGFb_2"
"TGFBI",9.91598147754413,10.4443495925959,13.0141756587754,13.6037453022018
"PMEPA1",8.48919326459359,8.79254669664328,11.5213695718922,11.9749874158806
"SERPINE1",10.1921396176815,9.52596542483444,12.9419338944273,13.297419617887
"COL4A1",8.49352674711572,8.74197984123513,11.0708499513112,11.6385151809414
"TAGLN",7.092746533558,7.14019077120865,9.37585807186876,9.37462354059073
"COL6A3",6.98802656019534,7.02472803187389,9.21718756555274,10.3155203826832
"MARCH4",7.55992918748727,7.44617747096021,9.83214201728887,9.90583195198185
"SCG5",9.79923899024236,9.49748357905795,11.6357177596948,11.8580250708005
"LAMC2",10.2934071576615,10.2754043538102,12.0932456901151,12.7551433696041
"PLAU",11.9230471678314,11.9876714496989,13.6091233160962,13.9875985354384
"KISS1",9.84479212757448,9.77501431364796,11.5515898904352,11.7424055206138
"ADAM19",8.35191638941999,9.03396229942623,10.0290213376377,10.5622740922284
"FSTL3",7.85119651875915,7.8059543526332,9.50675625922941,9.92695003488421
"HS.554507",7.22316252258616,7.45641101239687,8.80189911822529,9.1123835504379
"LOC653110",6.90680711302025,6.7313673728832,8.35816651961441,8.30515362754815
"HS.553145",7.18028643228596,6.6826191728421,8.64647204823753,9.22965648828416
"COL4A2",7.83856443672548,7.44674269848347,9.28845835913335,9.7787995350187
"COL7A1",10.6644828279778,10.0430338208113,12.0841933119584,11.931241500468
"FLJ10986",8.27393604707561,8.35136333954763,9.69774530281874,9.81641443414733
"PODXL",9.91978765345558,10.002227927536,11.3430478353172,11.8724656340852
"ANXA8L2",7.06078051420641,7.0288869370436,8.40877535558818,8.38902850856835
"LPXN",11.5580532149613,11.5610289541513,12.9477016259526,12.9698011966652
"ANXA8",7.18072495910906,7.05861518501577,8.5273888878658,8.43457728284023
"FERMT1",9.2611108704683,9.44416106151582,10.6449870570737,11.2605693504913
"MGC4294",7.16758610017895,7.56826658621656,8.48377921029405,9.10725149826092
"C15ORF48",10.1331015959425,10.140413496516,11.4463562410111,11.8998461410594
"CSF1R",7.04148818767161,7.24337686635118,8.26962846968317,8.93466125178626
"PLCXD1",7.14002799154338,7.2429119727901,8.36646066413048,8.01348835808945
"PIK3IP1",8.51956575028232,9.01572119161091,9.80035163015275,10.3245550936534
"PPAPDC1A",7.22672084654264,7.44803365045551,8.4309641721783,8.50407701079282
"HS.390407",7.67120742212012,7.55111218771625,8.87029390194398,9.14435491219267
"PDGFB",6.92102524804152,6.76292602015139,8.05885939045608,8.55785953670207
"TNFRSF11B",7.60716198984492,7.40630733552986,8.78934824560537,8.64228310917499
"MMP9",6.99817634430255,7.44386609497672,8.13365107486522,8.34757583669811
"begf",8.96498119696035,9.28619911757346,10.1368686910315,10.3891851329017
"APCDD1L",10.6061395065086,10.6596595823375,11.7403494000103,12.1422749949315
"SLC29A1",9.41889365124809,9.59102384485429,10.5610531817689,11.090619040321
"LOC652846",6.6387580760685,6.58907694823101,7.67176368508316,7.68305437367623
"THBS1",11.7547589087532,11.4483076193609,12.8544011333924,12.6581080023511
"COL5A1",10.0446752352977,10.2300061036069,11.148656632313,11.4472990771084
"LOC643296",6.91385972996154,7.00249927441316,7.93092334824127,8.23799603194509
"TFPI2",9.05484773408878,8.89635133399002,10.1561901403582,10.6351486575641
"ADAMTS6",6.98613491702772,6.90844306835902,7.99598795453935,7.73682519483337
"C6ORF105",7.60903046782198,7.58142438720474,8.65673994792072,8.87684139205414
"TIMP1",13.7980715408724,14.1667728137725,14.7383637220467,15.0701177256776
"EPHA4",8.05110877130052,7.92575414972603,9.09636975371203,9.42197073162869
"LOC728285",6.84126327609786,6.91479248559158,7.80229224443785,7.58275492065718
"SH3KBP1",10.8293470495301,11.0424937857276,11.8616186551064,12.1029949679547
"EDN1",9.3813146839816,9.0577084855807,10.3953439602375,10.0632287926803
"C1ORF106",8.43191825730275,8.61534226450125,9.45214060630754,10.1611355854498
"FSD2",6.26383474955598,6.7286048883192,7.1541456649045,6.47538868576753
"SRPX",9.8777414931064,10.2652462282241,10.8535182413913,11.3237580614767
"MYO10",8.61970394674037,8.85869564973051,9.59666417073578,9.88445468368134
"UCN2",8.38118196342742,8.20782767523723,9.35216790942964,9.26683660680504
"HSF2BP",7.47451879712352,7.57077367042526,8.39774456160081,8.42733419035963
"PLEK2",10.6586554520464,10.6842432967952,11.6022786342998,12.3052343979602
